"year","tour","offpiste","building","transportation.corridor","unknown","sum"
1937,15,0,0,4,0,19
1938,6,2,0,1,0,9
1939,16,2,1,3,0,22
1940,20,0,4,5,0,29
1941,10,2,0,2,0,14
1942,15,3,22,15,0,55
1943,16,0,0,1,0,17
1944,13,1,2,13,0,29
1945,14,1,15,11,0,41
1946,4,1,0,3,0,8
1947,20,1,0,6,0,27
1948,2,0,0,0,0,2
1949,1,0,0,0,0,1
1950,5,0,0,2,0,7
1951,3,1,77,18,0,99
1952,7,2,0,10,0,19
1953,13,0,0,5,0,18
1954,11,0,18,9,0,38
1955,8,3,1,0,0,12
1956,9,0,0,3,0,12
1957,5,0,0,2,0,7
1958,19,6,0,0,0,25
1959,3,0,0,7,0,10
1960,3,0,0,3,0,6
1961,16,6,0,8,0,30
1962,14,6,2,11,0,33
1963,10,0,1,6,0,17
1964,26,5,1,6,0,38
1965,10,4,0,6,0,20
1966,6,0,0,12,0,18
1967,3,2,9,0,0,14
1968,6,2,25,5,0,38
1969,17,8,0,0,0,25
1970,15,3,30,5,0,53
1971,25,2,0,6,0,33
1972,17,4,0,1,0,22
1973,24,6,0,6,0,36
1974,8,0,0,2,0,10
1975,12,1,10,4,0,27
1976,15,4,0,0,0,19
1977,14,8,0,5,0,27
1978,28,15,0,8,0,51
1979,16,12,0,5,0,33
1980,15,13,0,4,0,32
1981,19,1,0,1,0,21
1982,16,7,0,0,0,23
1983,17,4,0,0,0,21
1984,22,8,7,8,0,45
1985,25,14,0,15,0,54
1986,24,5,0,2,0,31
1987,7,8,0,1,0,16
1988,16,6,1,2,0,25
1989,20,5,0,1,0,26
1990,17,4,0,1,0,22
1991,22,11,0,1,0,34
1992,7,1,0,5,0,13
1993,30,3,0,0,0,33
1994,17,3,0,2,0,22
1995,11,4,0,0,0,15
1996,8,7,0,0,0,15
1997,16,10,0,2,0,28
1998,10,5,0,1,0,16
1999,12,4,9,9,0,34
2000,6,8,0,1,0,15
2001,22,9,0,1,0,32
2002,15,10,0,0,0,25
2003,10,11,0,0,0,21
2004,8,4,0,0,0,12
2005,17,5,0,0,0,22
2006,7,16,0,0,0,23
2007,14,8,0,0,0,22
2008,8,6,0,2,0,16
2009,16,7,0,0,0,23
2010,26,4,0,0,0,30
2011,25,2,0,2,0,29
2012,12,5,0,1,0,18
2013,18,7,0,0,0,25
2014,15,3,0,0,0,18
2015,21,10,0,0,0,31
2016,15,5,0,0,0,20
2017,11,4,0,0,0,15
2018,14,5,0,1,0,20
2019,18,4,0,2,0,24
2020,9,3,0,0,0,12
2021,10,14,0,0,0,24
